Asteroids	platforms	Arcade, [[#Ports
Indiana Jones and the Last Crusade: The Graphic Adventure	platforms	Macintosh
Indiana Jones and the Last Crusade: The Graphic Adventure	platforms	FM Towns
Indiana Jones and the Last Crusade: The Graphic Adventure	platforms	Amiga CDTV
Loom	platforms	DOS
Loom	platforms	Mac OS
Loom	platforms	Amiga
Loom	platforms	Atari ST
Loom	platforms	FM Towns
Loom	platforms	TurboGrafx-16
Loom	platforms	Microsoft Windows
Indiana Jones and the Fate of Atlantis	platforms	DOS
Indiana Jones and the Fate of Atlantis	platforms	Mac OS
Indiana Jones and the Fate of Atlantis	platforms	Amiga
Indiana Jones and the Fate of Atlantis	platforms	FM Towns
Indiana Jones and the Fate of Atlantis	platforms	Microsoft Windows
Indiana Jones and the Fate of Atlantis	platforms	Wii
Sam & Max Hit the Road	platforms	DOS
Sam & Max Hit the Road	platforms	Mac OS
Sam & Max Hit the Road	platforms	Microsoft Windows
Sam & Max Hit the Road	platforms	Amiga
Full Throttle	platforms	MS-DOS
Full Throttle	platforms	Mac OS
Full Throttle	platforms	Microsoft Windows
Full Throttle	platforms	OS X
Full Throttle	platforms	Linux
Full Throttle	platforms	PlayStation 4
Full Throttle	platforms	PlayStation Vita
The Dig	platforms	MS-DOS
The Dig	platforms	Mac OS
The Curse of Monkey Island	platforms	Microsoft Windows
The Secret of Monkey Island	platforms	Original version
The Secret of Monkey Island	platforms	Amiga
The Secret of Monkey Island	platforms	Atari ST
The Secret of Monkey Island	platforms	CDTV
The Secret of Monkey Island	platforms	FM Towns
The Secret of Monkey Island	platforms	Classic Mac OS
The Secret of Monkey Island	platforms	MacOS
The Secret of Monkey Island	platforms	MS-DOS
The Secret of Monkey Island	platforms	Sega CD
The Secret of Monkey Island	platforms	Special edition
The Secret of Monkey Island	platforms	IOS
The Secret of Monkey Island	platforms	Microsoft Windows
The Secret of Monkey Island	platforms	OS X
The Secret of Monkey Island	platforms	PlayStation 3
The Secret of Monkey Island	platforms	Xbox 360
Super Mario World	platforms	Super Nintendo Entertainment System
Super Mario World	platforms	Game Boy Advance
Luigi's Mansion	platforms	GameCube
Super Mario Bros. 3	platforms	Nintendo Entertainment System
Super Mario Bros. 3	platforms	PlayChoice-10
Super Mario Bros. 3	platforms	Game Boy Advance
Grim Fandango	platforms	Original
Grim Fandango	platforms	Microsoft Windows
Grim Fandango	platforms	Remastered
Grim Fandango	platforms	Microsoft Windows
Grim Fandango	platforms	OS X
Grim Fandango	platforms	Linux
Grim Fandango	platforms	PlayStation 4
Grim Fandango	platforms	PlayStation Vita
Grim Fandango	platforms	Android
Grim Fandango	platforms	IOS
Space Channel 5	platforms	Dreamcast
Space Channel 5	platforms	PlayStation 2
Space Channel 5	platforms	Game Boy Advance
Yoshi's Story	platforms	Nintendo 64
Yoshi's Story	platforms	IQue Player
Yoshi's Island	platforms	Super Nintendo Entertainment System
Yoshi's Island	platforms	Game Boy Advance
Shenmue	platforms	Dreamcast
FurryMUCK	platforms	Cross-platform
London King's Cross railway station	platforms	12
Jumpman	platforms	Atari 8-bit family
Jumpman	platforms	Commodore 64
Jumpman	platforms	Apple II family
Jumpman	platforms	IBM PC
Super Mario RPG	platforms	Super Nintendo Entertainment System
Paper Mario	platforms	Nintendo 64
Paper Mario	platforms	IQue Player
Mario Tennis	platforms	Nintendo 64
Mario Tennis	platforms	Game Boy Color
Mario Tennis	platforms	Virtual Console
Bristol Temple Meads railway station	platforms	13
Ultima Online	platforms	Microsoft Windows
Ultima Online	platforms	Linux
Hired Guns	platforms	Amiga
Hired Guns	platforms	PC
Bristol Parkway railway station	platforms	3
Waterloo tube station	platforms	8
Yoshi's Cookie	platforms	Nintendo Entertainment System
Yoshi's Cookie	platforms	Super Nintendo Entertainment System
Yoshi's Cookie	platforms	Game Boy
Yoshi's Cookie	platforms	Virtual Console
Tetris Attack	platforms	Super Nintendo Entertainment System
Tetris Attack	platforms	Game Boy
The Neverhood	platforms	Microsoft Windows
The Neverhood	platforms	PlayStation
Mornington Crescent tube station	platforms	2
Liverpool Street station	platforms	18
Liverpool Street station	platforms	4
XPilot	platforms	Unix-like
XPilot	platforms	Microsoft Windows
XPilot	platforms	Mac OS
XPilot	platforms	IOS
Super Mario 64	platforms	Nintendo 64
Super Mario 64	platforms	IQue Player
Millipede	platforms	Arcade game
Super Mario Land 2: 6 Golden Coins	platforms	Game Boy
Super Mario Land 2: 6 Golden Coins	platforms	Nintendo eShop
Rez	platforms	Dreamcast
Rez	platforms	PlayStation 2
Rez	platforms	Xbox 360
Rez	platforms	PlayStation 4
Sonic the Hedgehog 3	platforms	Sega Genesis
Sonic the Hedgehog 3	platforms	Microsoft Windows
E.T. the Extra-Terrestrial	platforms	Atari 2600
Asheron's Call	platforms	Microsoft Windows
Strife	platforms	MS-DOS
Strife	platforms	Microsoft Windows
Strife	platforms	OS X
Strife	platforms	Linux
Earthworm Jim	platforms	Sega Genesis
Earthworm Jim	platforms	Super Nintendo Entertainment System
Earthworm Jim	platforms	Sega CD
Earthworm Jim	platforms	Game Boy
Earthworm Jim	platforms	Sega Game Gear
Earthworm Jim	platforms	Windows 95
Earthworm Jim	platforms	MS-DOS
Earthworm Jim	platforms	Game Boy Advance
Operation Flashpoint: Cold War Crisis	platforms	Microsoft Windows
Operation Flashpoint: Cold War Crisis	platforms	Xbox
Space Colony	platforms	Microsoft Windows
Space Colony	platforms	Mac OS X
Bloodwych	platforms	Atari ST
Bloodwych	platforms	Amiga
Bloodwych	platforms	ZX Spectrum
Bloodwych	platforms	Amstrad CPC
Bloodwych	platforms	Amstrad CPC Plus
Bloodwych	platforms	Commodore 64
Bloodwych	platforms	MS-DOS
Super Mario Bros. 2	platforms	Nintendo Entertainment System
Super Mario Bros. 2	platforms	PlayChoice-10
Super Mario Bros. 2	platforms	Super Nintendo Entertainment System
Super Mario Bros. 2	platforms	Game Boy Advance
Duke Nukem Forever	platforms	Microsoft Windows
Duke Nukem Forever	platforms	PlayStation 3
Duke Nukem Forever	platforms	Xbox 360
Duke Nukem Forever	platforms	OS X
Duke Nukem Forever	platforms	OnLive
EarthBound	platforms	Super Nintendo Entertainment System
EarthBound	platforms	Game Boy Advance
Phantasy Star	platforms	Master System
Phantasy Star	platforms	Sega Genesis
Oval tube station	platforms	2
Medal of Honor: Allied Assault	platforms	Microsoft Windows
Medal of Honor: Allied Assault	platforms	Mac OS X
Medal of Honor: Allied Assault	platforms	Linux
Super Mario Bros.: The Lost Levels	platforms	Famicom Disk System
Mario Party	platforms	Nintendo 64
Super Mario Sunshine	platforms	GameCube
London Paddington station	platforms	14
London Paddington station	platforms	6
Sonic Mega Collection	platforms	GameCube
Sonic Mega Collection	platforms	PlayStation 2
Sonic Mega Collection	platforms	Xbox
Sonic Mega Collection	platforms	Microsoft Windows
Chocobo Racing	platforms	PlayStation
Chocobo Racing	platforms	PlayStation Network
Donkey Kong 3	platforms	Arcade game
Donkey Kong 3	platforms	Nintendo Entertainment System
Donkey Kong 3	platforms	NEC PC-8801
Donkey Kong 3	platforms	FM-7
Donkey Kong Land	platforms	Game Boy
Donkey Kong Country 3: Dixie Kong's Double Trouble!	platforms	SNES
Donkey Kong Country 3: Dixie Kong's Double Trouble!	platforms	Game Boy Advance
Donkey Kong 64	platforms	Nintendo 64
Donkey Kong Country 2: Diddy's Kong Quest	platforms	Super Nintendo Entertainment System
Donkey Kong Country 2: Diddy's Kong Quest	platforms	Game Boy Advance
Mario Party 4	platforms	GameCube
Mario Party 3	platforms	Nintendo 64
Super Mario Land	platforms	Game Boy
Mario Party 2	platforms	Nintendo 64
Donkey Kong Country	platforms	SNES
Donkey Kong Country	platforms	Game Boy Color
Donkey Kong Country	platforms	Game Boy Advance
Star Wars Jedi Knight: Dark Forces II	platforms	Microsoft Windows
Area 51	platforms	Arcade game
Area 51	platforms	PlayStation
Area 51	platforms	Sega Saturn
Area 51	platforms	IBM PC clone
Star Control	platforms	Amiga
Star Control	platforms	Amstrad CPC
Star Control	platforms	Commodore 64
Star Control	platforms	Mega Drive
Star Control	platforms	MS-DOS
Star Control	platforms	ZX Spectrum
Star Control	platforms	OS X
Planescape: Torment	platforms	Microsoft Windows
Planescape: Torment	platforms	Linux
Planescape: Torment	platforms	Mac OS X
Marble Madness	platforms	Arcade game
Marble Madness	platforms	Amiga
Marble Madness	platforms	Apple II
Marble Madness	platforms	Apple IIGS
Marble Madness	platforms	Atari ST
Marble Madness	platforms	Commodore 64
Marble Madness	platforms	Game Boy
Marble Madness	platforms	Game Gear
Marble Madness	platforms	Master System
Marble Madness	platforms	PC booter
Marble Madness	platforms	Sega Genesis
Marble Madness	platforms	Sharp X68000
Marble Madness	platforms	ZX Spectrum
Bethnal Green tube station	platforms	2
Tux Racer	platforms	Linux
Tux Racer	platforms	Mac OS
Tux Racer	platforms	Microsoft Windows
Tux Racer	platforms	Android
Tux Racer	platforms	Ubuntu Touch
Wallington railway station	platforms	2
Starship Titanic	platforms	Mac OS
Starship Titanic	platforms	Microsoft Windows
Ico	platforms	PlayStation 2
Rogue	platforms	Amiga
Rogue	platforms	Amstrad CPC
Rogue	platforms	Atari 8-bit family
Rogue	platforms	Atari ST
Rogue	platforms	Commodore 64
Rogue	platforms	DOS
Rogue	platforms	Macintosh
Rogue	platforms	TOPS-20
Rogue	platforms	TRS-80 Color Computer
Rogue	platforms	Unix
Rogue	platforms	ZX Spectrum
Wasteland	platforms	Apple II
Wasteland	platforms	Commodore 64
Wasteland	platforms	MS-DOS
Wasteland	platforms	Microsoft Windows
Wasteland	platforms	OS X
Wasteland	platforms	Linux
Crazy Taxi	platforms	Arcade game
Crazy Taxi	platforms	Dreamcast
Crazy Taxi	platforms	PlayStation 2
Crazy Taxi	platforms	GameCube
Crazy Taxi	platforms	Microsoft Windows
Crazy Taxi	platforms	PlayStation 3
Crazy Taxi	platforms	Xbox 360
Crazy Taxi	platforms	Cloud computing
Crazy Taxi	platforms	IOS
Crazy Taxi	platforms	Android
Fountain of Dreams	platforms	MS-DOS
The Legend of Zelda: Ocarina of Time	platforms	*
The Legend of Zelda: Ocarina of Time	platforms	Nintendo 64
The Legend of Zelda: Ocarina of Time	platforms	GameCube
The Legend of Zelda: Ocarina of Time	platforms	IQue Player
The Legend of Zelda	platforms	*
The Legend of Zelda	platforms	Famicom Disk System
The Legend of Zelda	platforms	Nintendo Entertainment System
The Legend of Zelda	platforms	Game Boy Advance
The Legend of Zelda: A Link to the Past	platforms	*
The Legend of Zelda: A Link to the Past	platforms	Super Nintendo Entertainment System
The Legend of Zelda: A Link to the Past	platforms	Game Boy Advance
The Legend of Zelda: Majora's Mask	platforms	Nintendo 64
The Legend of Zelda: Majora's Mask	platforms	GameCube
Pole Position	platforms	Arcade game
Pole Position	platforms	Pole Position
SimCity 4	platforms	Microsoft Windows
SimCity 4	platforms	Mac OS X
Clue	platforms	Microsoft Windows
Descent	platforms	PC , Mac OS, Acorn Archimedes, PlayStation, PC-98 [Linux]
SimCity 2000	platforms	Mac OS, DOS, Amiga, Microsoft Windows, [[#Ports and special editions
SimCity 3000	platforms	Classic Mac OS
SimCity 3000	platforms	IOS
SimCity 3000	platforms	Linux
SimCity 3000	platforms	Microsoft Windows
SimCity 3000	platforms	Mobile phone
Kaboom!	platforms	Atari 2600
Kaboom!	platforms	Atari 5200
Kaboom!	platforms	Atari 8-bit family
Survivor	platforms	Amstrad CPC
Survivor	platforms	MSX
Survivor	platforms	ZX Spectrum
Tax Avoiders	platforms	Atari 2600
Star Raiders	platforms	Atari 8-bit family
Crazy Climber	platforms	Arcade game
Crazy Climber	platforms	Arcadia 2001
Crazy Climber	platforms	Atari 2600
Crazy Climber	platforms	Nintendo Entertainment System
Crazy Climber	platforms	X68000
Crazy Climber	platforms	WonderSwan
Crazy Climber	platforms	Virtual Console
Crazy Climber	platforms	PlayStation 2
Crazy Climber	platforms	PlayStation 4
Carmageddon	platforms	MS-DOS
Carmageddon	platforms	Microsoft Windows
Carmageddon	platforms	Mac OS
Carmageddon	platforms	PlayStation
Carmageddon	platforms	Nintendo 64
Carmageddon	platforms	Game Boy Color
Carmageddon	platforms	IOS
Carmageddon	platforms	Android
Bolo	platforms	BBC Micro
Bolo	platforms	Mac OS
Bolo	platforms	Mac OS X
Bolo	platforms	Linux
Bolo	platforms	Microsoft Windows
Soul Edge	platforms	Arcade game
Soul Edge	platforms	PlayStation
Soulcalibur	platforms	Arcade game
Soulcalibur	platforms	Dreamcast
Soulcalibur	platforms	IOS
Soulcalibur	platforms	Xbox Live Arcade
Soulcalibur	platforms	Android
Tottenham Court Road tube station	platforms	4
BASIC Programming	platforms	Atari 2600
Pool of Radiance	platforms	Amiga
Pool of Radiance	platforms	Apple II family
Pool of Radiance	platforms	Commodore 64
Pool of Radiance	platforms	MS-DOS
Pool of Radiance	platforms	Apple Macintosh
Pool of Radiance	platforms	Nintendo Entertainment System
Pool of Radiance	platforms	PC-9800
SimEarth	platforms	IBM PC
SimEarth	platforms	Commodore Amiga
SimEarth	platforms	TurboGrafx-16
SimEarth	platforms	TurboDuo
SimEarth	platforms	Apple Macintosh
SimEarth	platforms	X68000
SimEarth	platforms	Sega Mega-CD
SimEarth	platforms	Super Nintendo Entertainment System
SimEarth	platforms	Virtual Console
SimEarth	platforms	Microsoft Windows
Forgotten Realms: Unlimited Adventures	platforms	MS-DOS
Forgotten Realms: Unlimited Adventures	platforms	Macintosh
Arkanoid	platforms	Arcade, Nintendo Entertainment System, [[#Ports and related releases
Bust a Groove	platforms	PlayStation
Bust a Groove	platforms	Arcade game
Bust a Groove	platforms	PlayStation 3
Bangai-O	platforms	Nintendo 64
Bangai-O	platforms	Dreamcast
Bangai-O	platforms	Xbox Live Arcade
America's Army	platforms	Microsoft Windows
America's Army	platforms	Linux/Mac OS X
Hitman 2: Silent Assassin	platforms	Microsoft Windows
Hitman 2: Silent Assassin	platforms	PlayStation 2
Hitman 2: Silent Assassin	platforms	Xbox
Hitman 2: Silent Assassin	platforms	GameCube
Blackthorne	platforms	SNES
Blackthorne	platforms	DOS
Blackthorne	platforms	Sega 32X
Blackthorne	platforms	Classic Mac OS
Blackthorne	platforms	Game Boy Advance
Blackthorne	platforms	Windows
Notting Hill Gate tube station	platforms	4
Euston railway station	platforms	18
Marylebone station	platforms	6
Marylebone station	platforms	2
The Sims Online	platforms	Microsoft Windows
Silent Hunter II	platforms	Microsoft Windows
Silent Hunter	platforms	MS-DOS
Xenophobe	platforms	Arcade game
Xenophobe	platforms	Atari 2600
Xenophobe	platforms	Atari 7800
Xenophobe	platforms	Atari ST
Xenophobe	platforms	Amiga
Xenophobe	platforms	Amstrad CPC
Xenophobe	platforms	Commodore 64
Xenophobe	platforms	Atari Lynx
Xenophobe	platforms	ZX Spectrum
Xenophobe	platforms	NES
Spice World	platforms	PlayStation
The Simpsons: Road Rage	platforms	PlayStation 2
The Simpsons: Road Rage	platforms	Xbox
The Simpsons: Road Rage	platforms	GameCube
The Simpsons: Road Rage	platforms	Game Boy Advance
